DOI,Title,Journal,pH,Subspecies,Species,CarbonSource,TargetMolecule,TiterUnits,FinalTiter,InitialTiter,Temperature,Medium,CultureSystem,Oxygen,FinalYield,GeneMutation,GeneName,Overexpress,Knocked out,others gene,DOI_replaced,SMILES,InChIKey
http://dx.doi.org/10.1016/j.ymben.2012.08.008,An integrated computational and experimental study for overproducing fatty acids in Escherichia coli,Metabolic Engineering,,MG1655,Escherichia coli,Glucose,Fatty Acids,g/L,1.7,0.6,30.0,MOPS,bflask,Aerobic,0.14,"[del, oe,plasmid, oe,plasmid]","[fabD, fabZ, acyl-coa thioesterase]","['fabZ', 'acyl-coa thioesterase']",['fabD'],[],http:..dx.doi.org.10.1016.j.ymben.2012.08.008,,
10.1007/s00253-011-3199-1,Biosynthesis of isoprene in Escherichia coli via methylerythritol phosphate (MEP) pathway,Applied Microbiology and Biotechnology,7.0,K-12,Escherichia coli,Glucose,Isoprene,g/L,,0.094,37.0,M9,,Aerobic,,"[codonoptimized,oe,plasmid,terminated, oe,plasmid,terminated, oe,plasmid,terminated]","[ispS, dxr, dxs]","['isps', 'dxr', 'dxs']",[],[],10.1007.s00253-011-3199-1,CC(=C)C=C,RRHGJUQNOFWUDK-UHFFFAOYSA-N
10.1073/pnas.1006138107,Combining metabolic and protein engineering of a terpenoid biosynthetic pathway for overproduction and selectivity control,PNAS,7.0,MG1655,Escherichia coli,Amino Acids,levopimaradiene,mg/L,700.0,0.15,30.0,LB,bioreactor,aerobic,,"[amplified,oe, amplified,oe, amplified,oe, amplified,oe, aa_snps,oe,plasmid, aa_snps,oe,plasmid]","[idi, ispF, ispD, dxs, TPS-LAS, GGPPS]","['idi', 'ispF', 'ispD', 'dxs', 'TPS-LAS', 'GGPPS']",[],[],10.1073.pnas.1006138107,CC(C)C1=CCC2C(=C1)CCC3C2(CCCC3(C)C)C,ASPVQUYRFYUDSC-CMKODMSKSA-N
10.1134/S000368381008003X,Construction of a Butyrate-Producing E. coli Strain without the Use of Heterologous Genes,Applied Biotechnology and Microbiology,,MG1655,Escherichia coli,Glucose,Butyrate,g/L,1.3,0.0,37.0,LB,testtube,Microaerobic,,"[mutated, con,promoter_switch, del, del, nuc_snps]","[atoC, atoB, ldhA, fadR, adhE]",[],"['ldhA', 'fadR']","['atoC', 'atoB', 'adhE']",10.1134.S000368381008003X,CCCC(=O)[O-],FERIUCNNQQJTOY-UHFFFAOYSA-M
doi:10.1038/nbt.1789,Conversion of proteins into biofuels by engineering nitrogen flux,Nature,7.0,YH19,Escherichia coli,Amino Acids,Isobutanol,g/L,4.035,0.0,37.0,LB,nbflask,Microaerobic,0.557,"[oe,plasmid, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, del, oe,plasmid, del, oe,plasmid, oe,plasmid]","[avtA, gdhA, ADH2, acetolactate synthase, leuH, kivD, leuD, ilvE, ilvD, ilvC, glnA, yqhD, lsrA, sdaB, ilvA]","['avtA', 'ADH2', 'acetolactate synthase', 'leuH', 'kivD', 'leuD', 'ilvE', 'ilvD', 'ilvC', 'yqhD', 'sdaB', 'ilvA']","['gdhA', 'glnA', 'lsrA']",[],doi:10.1038.nbt.1789,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
10.1007/s10529-009-0011-8,Deletion of methylglyoxal synthase gene (mgsA) increased sugar co-metabolism in ethanol-producing Escherichia coli,Biotechnology Letters,6.5,W,Escherichia coli,"Glucose,Xylose",Ethanol,g/L,40.0,25.0,37.0,AM1,bioreactor,Anaerobic,,"[del, del, del, del, del, del, del, del, integrated,oe, integrated,oe, del]","[mgsA, frdC, frdD, ldhA, ackA, frdA, None, adhE, adhB, pdc, frdB]","['adhB', 'pdc']","['mgsA', 'frdC', 'frdD', 'ldhA', 'ackA', 'frdA', 'None', 'adhE', 'frdB']",[],10.1007.s10529-009-0011-8,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
doi:10.1038/nbt.2149,Design of a dynamic sensor-regulator system for production of chemicals and fuels derived from fatty acids,Nature,7.0,DH10B,Escherichia coli,Glucose,Biodiesel,g/L,1.5,0.0,37.0,M9,testtube,Aerobic,28.0,"[oe,plasmid,truncated, sensor, con,regulated, con,regulated, oe,plasmid, oe,plasmid]","[tesA, fadR, fadD, atfA, adhB, pdc]","['tesA', 'adhB', 'pdc']",[],"['fadR', 'fadD', 'atfA']",doi:10.1038.nbt.2149,,
10.1128/AEM.03034-10,Driving Forces Enable High-Titer Anaerobic 1-Butanol Synthesis in Escherichia coli,Applied and Environmental Microbiology,7.0,MG1655,Escherichia coli,Glucose,n-butanol,g/L,5.1,1.3,37.0,TB,nbflask,microaerobic,0.88,"[del, oe,plasmid, oe,plasmid, del, del, oe,plasmid, del, del, del, del, oe,plasmid, oe,plasmid, oe,plasmid]","[frdB, hbd, ter, frdA, frdD, atoB, frdC, ldhA, pta, adhE, crt, fdh, adhE2]","['hbd', 'ter', 'atoB', 'crt', 'fdh', 'adhE2']","['frdB', 'frdA', 'frdD', 'frdC', 'ldhA', 'pta', 'adhE']",[],10.1128.AEM.03034-10,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N
10.1039/b913501d,"Enantioselective synthesis of pure (R,R)-2,3-butanediol in Escherichia coli with stereospecific secondary alcohol dehydrogenases",Organic and Biomolecular Chemistry,7.0,BW25113,Escherichia coli,Glucose,rr-2_3-BDO,g/L,6.1,2.8,37.0,M9,bflask,Aerobic,0.31,"[del, del, del, del, del, del, del, codonoptimized,oe,plasmid]","[fnr, frdB, frdC, ldhA, pflB, pta, adhE, adh]",['adh'],"['fnr', 'frdB', 'frdC', 'ldhA', 'pflB', 'pta', 'adhE']",[],10.1039.b913501d,,
10.1016/j.ymben.2011.02.004,Engineered ketol-acid reductoisomerase and alcohol dehydrogenase enable anaerobic 2-methylpropan-1-ol production at theoretical yield in Escherichia coli,Metabolic Engineering,7.0,MG1655,Escherichia coli,Glucose,isobutanol,g/L,13.8,1.5,30.0,M9,bflask,anaerobic,100.0,"[del, del, aa_snps,integrated,oe, integrated,oe, integrated,oe, integrated,oe, del, del, del, del, integrated,oe, del, aa_snps,integrated,oe, integrated,oe, del, del]","[fnr, adhE, adhA, kivD, acetolactate synthase, pntA, frdA, frdD, frdB, frdC, ilvD, ldhA, ilvC, pntA, pflB, pta]","['adhA', 'kivD', 'acetolactate synthase', 'pntA', 'ilvD', 'ilvC', 'pntA']","['fnr', 'adhE', 'frdA', 'frdD', 'frdB', 'frdC', 'ldhA', 'pflB', 'pta']",[],10.1016.j.ymben.2011.02.004,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
