paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check
p1,10.1002.biot.201600457,C. acetobutylicum ATCC 824,,"n-butanol, ethanol (n-butanol, ethanol)","6.1 g/L n-butanol, 0.2 g/L ethanol",CGM (Clostridial Growth Medium),glucose,80 g/L,"5.0 L Bioreactor, Batch fermentation",>5.0,until desired OD,37°C,,C. acetobutylicum ATCC 824,-,thlA V5A,-,yes
p1,10.1002.biot.201600457,C. acetobutylicum TKW-A (thlA-knockdown mutant),,"n-butanol, ethanol (n-butanol, ethanol)","5.8 g/L n-butanol, 5.9 g/L ethanol",CGM,glucose,80 g/L,"5.0 L Bioreactor, Batch fermentation",>5.0,until desired OD,37°C,,C. acetobutylicum ATCC 824,thlA-knockdown,thlA V5A,-,yes
p1,10.1002.biot.201600457,C. acetobutylicum BKM19,,"n-butanol, ethanol (n-butanol, ethanol)","15.0 g/L n-butanol, 4.6 g/L ethanol",CGM,glucose,80 g/L,"5.0 L Bioreactor, Batch fermentation",>5.0,until desired OD,37°C,,C. acetobutylicum ATCC 824,-,thlA V5A,-,yes
,,,,,,,,,,,,,,,,,,
p2,10.1002.biot.201600687,MuA-1.02.1.04,Saccharomyces cerevisiae,muconic acid (muconic acid),~1.5 g/L,CSM,glucose,4%,Shake flasks,5.0,10 days,30°C,,ENG,"aro3, aro4, zwf1",aro1t,"AROZpodo, ECL_01944opt, caHQD2opt, scPAD1",product
p2,10.1002.biot.201600687,MuA-5.01.1.02,Saccharomyces cerevisiae,muconic acid (muconic acid),1.5 g/L,CSM,glucose,4%,Shake flasks,5.0,10 days,30°C,,ENG,"aro3, aro4, zwf1",aro1t,"AROZpodo, ECL_01944opt, caHQD2opt, scPAD1",product
p2,10.1002.biot.201600687,MuA-5.01.1.02+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),550 mg/L,CSM,glucose,4%,Shake flasks,5.0,10 days,30°C,,ENG,"aro3, aro4, zwf1","aro1t, scPAD1","AROZpodo, ECL_01944opt, caHQD2opt",yes
p2,10.1002.biot.201600687,MuA-5.01.1.02+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),2.1 g/L,CSM-LUHW,glucose,40 g/L,Duplicate fed-batch,5.0,10 days,30°C,,ENG,"aro3, aro4, zwf1","aro1t, scPAD1","AROZpodo, ECL_01944opt, caHQD2opt",yes
,,,,,,,,,,,,,,,,,,
p3,10.1002.bit.20542,pta-adhE,E. coli,lactate (lactate),1.69 g/L,M9 minimal,glucose,2 g/L,batch culture,-,60 days,37°C,,E. coli K12 MG1655,"pta, adhE",-,-,yes
