identifier,doi,strain names,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p1,10.1016.j.ymben.2015.07.006,WT [C],ethanol,22.0 g/L,SC-His,glucose,50 g/L,Not specified,-,24h,30°C,CEN.PK2-1C,,,
p1,10.1016.j.ymben.2015.07.006,WT [SDB],"2,3-butanediol",11.3 g/L,SC-His,glucose,50 g/L,Not specified,-,Not specified,30°C,CEN.PK2-1C,,"PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,adh1Δ [SDB],"2,3-butanediol",13.3 g/L,SC-His,glucose,50 g/L,Not specified,-,27h,30°C,CEN.PK2-1C,ADH1,"PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,adh1-5Δ [SDB],"2,3-butanediol",Similar to adh1Δ [SDB],SC-His,glucose,50 g/L,Not specified,-,36h,30°C,CEN.PK2-1C,"ADH1, ADH2, ADH3, ADH4, ADH5","PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,gpd1Δgpd2Δ [SDB],"2,3-butanediol",12.3 g/L,SC-His,glucose,50 g/L,Not specified,-,Not specified,30°C,CEN.PK2-1C,"GPD1, GPD2","PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,adh1Δgpd1Δgpd2Δ [SDB],"2,3-butanediol",Higher than adh1Δ & gpd1Δgpd2Δ,SC-His,glucose,50 g/L,Not specified,-,Not specified,30°C,CEN.PK2-1C,"ADH1, GPD1, GPD2","PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2Δ [SDB],"2,3-butanediol",18.5 g/L,SC-His,glucose,50 g/L,Not specified,-,72h,30°C,CEN.PK2-1C,"ADH1, ADH2, ADH3, ADH4, ADH5, GPD1, GPD2","PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis"
p1,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2Δ [SDBN],"2,3-butanediol",72.9 g/L,YPD10,glucose,100 g/L,Flask fed-batch with glucose feeding,-,51h,30°C,CEN.PK2-1C,"ADH1, ADH2, ADH3, ADH4, ADH5, GPD1, GPD2","PTDH3-alsS-TPYK1, PTEF1-alsD-TGPM1, PTPI1-BDH1-TTPI1, PFBA1-noxE-TFBA1","BDH1 from S. cerevisiae, alsS and alsD from B. subtilis, noxE from L. lactis"
p2,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAispS,Isoprene,94 mg/L,M9,Glucose,20 g/L,"5-L fermentor, Fed-batch",7.0,49h,37°C,E. coli BL21,,ispS,
p2,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs/ispS,Isoprene,145 mg/L,M9,Glucose,20 g/L,"5-L fermentor, Fed-batch",7.0,49h,37°C,E. coli BL21,,"ispS, dxs",
p2,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxr/ispS,Isoprene,107 mg/L,M9,Glucose,20 g/L,"5-L fermentor, Fed-batch",7.0,49h,37°C,E. coli BL21,,"ispS, dxr",
p2,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs2/dxr2/ispS,Isoprene,314 mg/L,M9,Glucose,20 g/L,"5-L fermentor, Fed-batch",7.0,49h,37°C,E. coli BL21,,ispS,dxs and dxr from B. subtilis
