organisms,counts
Escherichia coli,2030
Saccharomyces cerevisiae,842
Corynebacterium glutamicum,306
Yarrowia lipolytica,225
Bacillus subtilis,160
Pichia pastoris,123
Pseudomonas putida,72
yeast,67
Bacillus licheniformis,45
Clostridium acetobutylicum,43
Kluyveromyces marxianus,37
Klebsiella pneumoniae,32
Synechocystis,28
Synechococcus elongatus,26
Lactococcus lactis,25
Ralstonia eutropha,25
Streptomyces,24
Cupriavidus necator,24
Aspergillus niger,23
Rhodosporidium toruloides,22
Zymomonas mobilis,21
Aspergillus oryzae,20
Bacillus amyloliquefaciens,19
Clostridium tyrobutyricum,19
Enterobacter aerogenes,17
Chinese hamster ovary (CHO) cells,16
Bacillus,15
Gluconobacter oxydans,15
bacteria,14
Rhodobacter sphaeroides,13
Saccharomyces,13
Candida glabrata,12
Pseudomonas aeruginosa,12
Komagataella phaffii,12
Trichoderma reesei,12
Mannheimia succiniciproducens,11
Pseudomonas,11
Streptomyces hygroscopicus,11
Clostridium,11
Candida tropicalis,11
Corynebacterium crenatum,11
Chlamydomonas reinhardtii,11
Halomonas bluephagenesis,11
Rhodotorula toruloides,10
Halomonas,10
Klebsiella oxytoca,10
Saccharopolyspora erythraea,10
Synechococcus,10
Synechocystis sp. PCC 6803,10
Hansenula polymorpha,9
Lactobacillus plantarum,9
Paenibacillus polymyxa,8
Streptomyces coelicolor,8
Pichia kudriavzevii,8
Clostridium beijerinckii,8
Candida glycerinogenes,7
Schizosaccharomyces pombe,7
Aureobasidium pullulans,7
Pseudomonas chlororaphis,7
Actinobacillus succinogenes,7
Aspergillus terreus,7
Aspergillus,7
Scheffersomyces stipitis,6
Streptomyces lividans,6
Xanthophyllomyces dendrorhous,6
Bacillus coagulans,6
Methylobacterium extorquens,6
Lactobacillus reuteri,6
Ogataea polymorpha,6
Ashbya gossypii,6
Clostridium ljungdahlii,6
Pseudomonas taiwanensis,6
Myceliophthora thermophila,6
Actinosynnema pretiosum,6
Issatchenkia orientalis,5
Bacillus thuringiensis,5
Pseudomonas fluorescens,5
Pediococcus acidilactici,5
Spathaspora passalidarum,5
Streptomyces albulus,5
Rhodopseudomonas palustris,5
Acinetobacter baylyi,5
Salvia miltiorrhiza,5
Lipomyces starkeyi,5
Lactobacillus,5
Sinorhizobium meliloti,5
Escherichia,5
Geobacillus thermoglucosidasius,5
Clostridium thermocellum,5
Vibrio natriegens,5
Aspergillus nidulans,5
Saccharopolyspora spinosa,5
Bacillus megaterium,5
Ustilago maydis,5
Serratia marcescens,5
Synechocystis sp. PCC6803,5
Agrobacterium,4
Candida magnoliae,4
Aeromonas hydrophila,4
Rhodococcus,4
Candida famata,4
Starmerella bombicola,4
Kluyveromyces lactis,4
Phaeodactylum tricornutum,4
Neurospora crassa,4
Blakeslea trispora,4
Rhodococcus opacus,4
Zygosaccharomyces rouxii,4
Fusarium oxysporum,4
Streptomyces rimosus,4
Yeast,4
Clostridium autoethanogenum,4
Rhodobacter capsulatus,4
Propionibacterium acidipropionici,4
Schizochytrium sp.,4
Mycobacterium neoaurum,4
Penicillium oxalicum,4
Monascus purpureus,4
Synechococcus sp. PCC 7002,4
Arabidopsis thaliana,4
Nicotiana benthamiana,4
Streptomyces avermitilis,4
Fusarium fujikuroi,4
Synechococcus elongatus PCC 7942,4
Sphingomonas,3
Torulopsis glabrata,3
thraustochytrid,3
Thermobifida fusca,3
Rhodotorula mucilaginosa,3
Thermoanaerobacterium saccharolyticum,3
Lactobacillus brevis,3
Streptomyces roseosporus,3
Schizochytrium,3
Streptomyces venezuelae,3
Clostridium cellulovorans,3
Streptomyces lincolnensis,3
Komagataeibacter xylinus,3
Bacillus velezensis,3
Acetobacterium woodii,3
Aureobasidium melanogenum,3
Corynebacterium ammoniagenes,3
Methylobacterium,3
Pichia anomala,3
Mycobacterium,3
Mucor circinelloides,3
Saccharomyces boulardii,3
Pseudomonas denitrificans,3
Lactobacillus paracasei,3
Lactobacillus casei,3
Acetobacter pasteurianus,3
Lactiplantibacillus plantarum,3
Streptomyces tsukubaensis,3
Thermoanaerobacterium,3
Phaffia rhodozyma,3
Amycolatopsis balhimycina,3
Candida boidinii,3
Methylomicrobium alcaliphilum,3
Mortierella alpina,3
Shewanella oneidensis,3
Pseudomonas mendocina,3
Clostridium cellulolyticum,3
Agrobacterium tumefaciens,3
Chlorella zofingiensis,3
CHO cells,3
Bacillus cereus,3
Burkholderia sacchari,3
Chinese Hamster Ovary (CHO) cells,3
Nannochloropsis oceanica,3
Pseudomonas putida KT2440,3
Catharanthus roseus,3
Streptomyces albus,3
Methylobacterium extorquens AM1,3
Propionibacterium jensenii,2
Salmonella,2
Klebsiella,2
Coprinopsis cinerea,2
Synechocystis sp.,2
Ogataea (Hansenula) polymorpha,2
Methylomonas,2
Ketogulonigenium,2
Kluyveromyces,2
Alternaria alternata,2
Propionibacterium,2
Candida utilis,2
Pichia stipitis,2
Corynebacterium,2
top-fermenting yeast,2
Methylomicrobium buryatense,2
Lactobacillus delbrueckii,2
Artemisia annua,2
Rhizopus oryzae,2
Cutaneotrichosporon oleaginosum,2
Anabaena,2
Pichia guilliermondii,2
Basfia,2
Methylotuvimicrobium alcaliphilum,2
Not mentioned,2
Rhodotorula glutinis,2
Trichosporon asahii,2
Burkholderia,2
Lactobacillus acidophilus,2
Saccharopolyspora,2
Methylorubrum extorquens,2
Thermococcus onnurineus NA1,2
Klebsiella sp.,2
yeasts,2
Streptomyces spp.,2
Cupriavidus necator H16,2
Elizabethkingia meningoseptica,2
Wickerhamomyces ciferrii,2
Vibrio,2
Pichia ciferrii,2
Halomonas TD01,2
Halomonas elongata,2
Myxococcus xanthus,2
Geobacillus,2
Methylomonas sp. DH-1,2
Rhodococcus ruber,2
Parageobacillus thermoglucosidasius,2
Streptomyces albidoflavus,2
engineered strain,2
Streptococcus zooepidemicus,2
Staphylococcus aureus,2
Ketogulonicigenium vulgare,2
Enterobacter cloacae,2
Bacillus pumilus,2
Saitozyma podzolica,2
Dunaliella tertiolecta,2
Thraustochytrium,2
Enterobacter,2
Arthrospira platensis,2
Anabaena sp. PCC 7120,2
Streptomyces pristinaespiralis,2
Methylorubrum extorquens AM1,2
Streptomyces gilvosporeus,2
Neochloris oleoabundans,2
Streptomyces sp. RM7011,2
Chlorella sorokiniana,2
Bacillus circulans,2
Sorangium cellulosum,2
Bacillus subtilis natto,2
Aspergillus carbonarius,2
Synechococcus sp. PCC7002,2
Panax notoginseng,2
Shewanella oneidensis MR-1,2
Pseudomonas putida S12,2
Saccharopolyspora pogona,2
Chlorella protothecoides,2
Schizophyllum commune,2
Trichoderma harzianum,2
Synechococcus elongatus UTEX 2973,2
Caldicellulosiruptor bescii,2
Amycolatopsis mediterranei,2
Scenedesmus obliquus,2
Chinese hamster ovary cells,2
Thermoanaerobacterium aotearoense,2
Bombyx mori,2
Nannochloropsis gaditana,2
Halomonas sp. Y3,2
Clostridium saccharoperbutylacetonicum,2
fungal sp. No. 11243,2
Acidithiobacillus ferrooxidans,2
Salmonella enterica,2
Haematococcus pluvialis,2
Streptomyces coelicolor M512,2
Pseudomonas stutzeri,2
Alcaligenes faecalis,2
Scenedesmus sp.,2
Streptomyces chattanoogensis,2
Rhodotorula,1
Lactobacillus lactis,1
Raoultella ornithinolytica,1
Yersinia,1
Ascaris suum,1
Wickerhamomyces anomalus,1
Brettanomyces bruxellensis,1
Bipolaris sorokiniana,1
Schwanniomyces occidentalis,1
Bacillus methanolicu,1
brewer’s yeast,1
Moritella marina,1
Alternaria,1
Propionibacterium freudenreichii,1
Nocardia,1
Aspergillus flavus and Rhizopus oryzae,1
Ensifer,1
Actinoplanes,1
Gluconobacter japonicus,1
Kodamaea,1
Ganoderma lucidum,1
Sporolactobacillus inulinus,1
Arthrobacter simplex,1
Coriolus versicolor,1
Corynebacteria,1
Rhodococcus jostii RHA1,1
Scheffersomyces,1
lager yeast,1
Trichosporon moniliiforme,1
Auxenochlorella protothecoides,1
Acidithiobacillus,1
Thermotoga,1
Arthrobacter,1
Streptoverticillium mobaraense,1
BHK-21,1
Corynebacter,1
Candida,1
Polyamine metabolic genes knockout strain,1
Schizochytrium limacinum,1
Corynebacterium lilium,1
Thermoanaerobacter ethanolicus,1
Cryptococcus curvatus,1
Clostridium diolis,1
LY04,1
Enterococcus faecalis,1
Lentibacillus salarius,1
Acidithiobacillus cal,1
psychrotrophic yeast,1
Williopsis saturnus,1
Saccharomyces pastorianus,1
Candida albicans,1
cereal vinegar,1
lager brewing yeast,1
Sporidiobolus pararoseus,1
Saprochaete,1
Bifidobacterium,1
Trichoderma,1
Serratia,1
Aureobasidium,1
Acetobacter,1
Lachancea,1
mixed culture,1
Weissella cibaria,1
W3110,1
Brevibacterium linens,1
Peptoniphilaceae,1
Rhodotorula paludigena,1
Serratia sp.,1
Citrobacter sp.,1
Lactobacillus fermentum,1
Yarrowia lipolytica and Debaryomyces hansenii,1
Schleiferilactobacillus,1
grapevine,1
Bacillus licheformis,1
tyrA mutant,1
Corynebacterium acetoacidophilum,1
Pichia,1
Trametes versicolor,1
Candidatus Accumulibacter,1
Butyrivibrio,1
Saccaromyces cerevisiae,1
Streptomyces cinnamonensis,1
